50 1225
0 1 82
0 2 86
0 3 41
0 4 95
0 5 94
0 6 62
0 7 80
0 8 45
0 9 94
0 10 59
0 11 41
0 12 73
0 13 56
0 14 24
0 15 73
0 16 94
0 17 2
0 18 88
0 19 20
0 20 20
0 21 35
0 22 22
0 23 64
0 24 63
0 25 64
0 26 22
0 27 9
0 28 1
0 29 32
0 30 12
0 31 73
0 32 41
0 33 88
0 34 20
0 35 60
0 36 9
0 37 77
0 38 65
0 39 9
0 40 22
0 41 43
0 42 29
0 43 60
0 44 50
0 45 79
0 46 38
0 47 93
0 48 89
0 49 23
1 2 78
1 3 27
1 4 87
1 5 9
1 6 46
1 7 83
1 8 78
1 9 45
1 10 81
1 11 99
1 12 97
1 13 56
1 14 56
1 15 10
1 16 45
1 17 32
1 18 24
1 19 35
1 20 85
1 21 54
1 22 66
1 23 91
1 24 44
1 25 51
1 26 10
1 27 86
1 28 87
1 29 20
1 30 4
1 31 100
1 32 29
1 33 36
1 34 95
1 35 89
1 36 20
1 37 69
1 38 37
1 39 12
1 40 70
1 41 36
1 42 54
1 43 100
1 44 72
1 45 29
1 46 89
1 47 33
1 48 11
1 49 69
2 3 81
2 4 44
2 5 1
2 6 69
2 7 33
2 8 58
2 9 73
2 10 12
2 11 100
2 12 30
2 13 96
2 14 26
2 15 60
2 16 42
2 17 72
2 18 70
2 19 47
2 20 31
2 21 29
2 22 37
2 23 2
2 24 13
2 25 14
2 26 5
2 27 65
2 28 54
2 29 95
2 30 90
2 31 64
2 32 34
2 33 19
2 34 85
2 35 13
2 36 4
2 37 52
2 38 21
2 39 10
2 40 97
2 41 57
2 42 97
2 43 72
2 44 97
2 45 55
2 46 6
2 47 75
2 48 14
2 49 46
3 4 27
3 5 88
3 6 31
3 7 95
3 8 70
3 9 22
3 10 77
3 11 60
3 12 76
3 13 13
3 14 94
3 15 68
3 16 76
3 17 39
3 18 63
3 19 68
3 20 64
3 21 87
3 22 41
3 23 40
3 24 48
3 25 31
3 26 35
3 27 77
3 28 30
3 29 36
3 30 1
3 31 75
3 32 63
3 33 37
3 34 64
3 35 62
3 36 32
3 37 58
3 38 99
3 39 84
3 40 7
3 41 39
3 42 37
3 43 65
3 44 25
3 45 71
3 46 5
3 47 98
3 48 63
3 49 5
4 5 62
4 6 6
4 7 89
4 8 10
4 9 99
4 10 66
4 11 8
4 12 89
4 13 73
4 14 61
4 15 3
4 16 82
4 17 55
4 18 66
4 19 29
4 20 11
4 21 27
4 22 7
4 23 8
4 24 13
4 25 78
4 26 77
4 27 28
4 28 3
4 29 75
4 30 33
4 31 24
4 32 72
4 33 63
4 34 84
4 35 27
4 36 62
4 37 84
4 38 72
4 39 36
4 40 37
4 41 33
4 42 74
4 43 11
4 44 72
4 45 76
4 46 4
4 47 40
4 48 60
4 49 67
5 6 27
5 7 50
5 8 100
5 9 95
5 10 67
5 11 61
5 12 35
5 13 37
5 14 92
5 15 14
5 16 18
5 17 89
5 18 32
5 19 23
5 20 95
5 21 89
5 22 20
5 23 23
5 24 80
5 25 76
5 26 53
5 27 82
5 28 29
5 29 25
5 30 12
5 31 67
5 32 8
5 33 79
5 34 70
5 35 99
5 36 95
5 37 6
5 38 3
5 39 53
5 40 35
5 41 52
5 42 8
5 43 52
5 44 80
5 45 9
5 46 66
5 47 91
5 48 14
5 49 67
6 7 23
6 8 8
6 9 68
6 10 84
6 11 100
6 12 32
6 13 1
6 14 88
6 15 30
6 16 20
6 17 97
6 18 10
6 19 37
6 20 77
6 21 18
6 22 56
6 23 6
6 24 44
6 25 27
6 26 17
6 27 67
6 28 24
6 29 9
6 30 21
6 31 2
6 32 17
6 33 89
6 34 99
6 35 26
6 36 28
6 37 40
6 38 10
6 39 16
6 40 32
6 41 64
6 42 61
6 43 33
6 44 90
6 45 5
6 46 26
6 47 20
6 48 73
6 49 69
7 8 90
7 9 33
7 10 49
7 11 66
7 12 91
7 13 38
7 14 67
7 15 57
7 16 15
7 17 75
7 18 54
7 19 14
7 20 83
7 21 51
7 22 69
7 23 87
7 24 32
7 25 43
7 26 38
7 27 79
7 28 6
7 29 90
7 30 49
7 31 56
7 32 21
7 33 36
7 34 17
7 35 69
7 36 65
7 37 44
7 38 82
7 39 47
7 40 98
7 41 30
7 42 29
7 43 27
7 44 5
7 45 65
7 46 32
7 47 66
7 48 49
7 49 6
8 9 14
8 10 9
8 11 6
8 12 35
8 13 62
8 14 33
8 15 95
8 16 9
8 17 39
8 18 66
8 19 70
8 20 35
8 21 91
8 22 1
8 23 17
8 24 68
8 25 34
8 26 40
8 27 43
8 28 18
8 29 2
8 30 74
8 31 45
8 32 16
8 33 73
8 34 7
8 35 46
8 36 93
8 37 31
8 38 45
8 39 33
8 40 15
8 41 7
8 42 13
8 43 62
8 44 43
8 45 90
8 46 82
8 47 61
8 48 76
8 49 100
9 10 85
9 11 35
9 12 19
9 13 58
9 14 68
9 15 7
9 16 68
9 17 27
9 18 35
9 19 76
9 20 68
9 21 6
9 22 34
9 23 17
9 24 76
9 25 71
9 26 89
9 27 58
9 28 81
9 29 84
9 30 31
9 31 78
9 32 73
9 33 33
9 34 46
9 35 12
9 36 27
9 37 62
9 38 57
9 39 83
9 40 91
9 41 54
9 42 83
9 43 13
9 44 38
9 45 53
9 46 8
9 47 25
9 48 7
9 49 7
10 11 48
10 12 17
10 13 47
10 14 14
10 15 96
10 16 77
10 17 84
10 18 93
10 19 80
10 20 58
10 21 59
10 22 78
10 23 61
10 24 53
10 25 49
10 26 13
10 27 92
10 28 50
10 29 59
10 30 35
10 31 71
10 32 7
10 33 53
10 34 81
10 35 44
10 36 71
10 37 57
10 38 74
10 39 12
10 40 7
10 41 83
10 42 94
10 43 14
10 44 63
10 45 58
10 46 26
10 47 12
10 48 21
10 49 37
11 12 57
11 13 68
11 14 3
11 15 96
11 16 31
11 17 58
11 18 82
11 19 67
11 20 90
11 21 51
11 22 2
11 23 52
11 24 81
11 25 52
11 26 31
11 27 52
11 28 57
11 29 14
11 30 26
11 31 85
11 32 57
11 33 90
11 34 46
11 35 84
11 36 60
11 37 8
11 38 50
11 39 34
11 40 2
11 41 24
11 42 93
11 43 11
11 44 24
11 45 88
11 46 44
11 47 46
11 48 4
11 49 91
12 13 61
12 14 5
12 15 31
12 16 46
12 17 66
12 18 19
12 19 97
12 20 60
12 21 85
12 22 21
12 23 27
12 24 91
12 25 91
12 26 50
12 27 51
12 28 85
12 29 54
12 30 66
12 31 92
12 32 57
12 33 95
12 34 22
12 35 75
12 36 12
12 37 74
12 38 91
12 39 29
12 40 67
12 41 38
12 42 30
12 43 47
12 44 86
12 45 74
12 46 65
12 47 24
12 48 53
12 49 94
13 14 85
13 15 46
13 16 75
13 17 3
13 18 92
13 19 77
13 20 67
13 21 87
13 22 22
13 23 97
13 24 14
13 25 90
13 26 57
13 27 9
13 28 71
13 29 12
13 30 11
13 31 52
13 32 95
13 33 100
13 34 72
13 35 33
13 36 57
13 37 21
13 38 61
13 39 51
13 40 90
13 41 56
13 42 3
13 43 5
13 44 72
13 45 90
13 46 42
13 47 1
13 48 52
13 49 19
14 15 92
14 16 26
14 17 88
14 18 30
14 19 87
14 20 35
14 21 91
14 22 71
14 23 16
14 24 42
14 25 71
14 26 52
14 27 5
14 28 15
14 29 93
14 30 89
14 31 98
14 32 95
14 33 49
14 34 92
14 35 91
14 36 30
14 37 89
14 38 6
14 39 4
14 40 15
14 41 33
14 42 100
14 43 9
14 44 6
14 45 1
14 46 34
14 47 94
14 48 99
14 49 77
15 16 12
15 17 87
15 18 11
15 19 8
15 20 83
15 21 20
15 22 65
15 23 81
15 24 10
15 25 78
15 26 78
15 27 26
15 28 62
15 29 32
15 30 67
15 31 94
15 32 7
15 33 57
15 34 38
15 35 48
15 36 51
15 37 100
15 38 3
15 39 3
15 40 83
15 41 97
15 42 64
15 43 20
15 44 98
15 45 86
15 46 44
15 47 94
15 48 8
15 49 39
16 17 88
16 18 16
16 19 58
16 20 7
16 21 57
16 22 44
16 23 83
16 24 14
16 25 73
16 26 99
16 27 95
